customer_id,campaign_id,channel,region,device,age,income,tenure_months,prev_purchases,session_duration_min,pages_viewed,spend,impressions,clicks,conversions,revenue,converted
C00000,CMP_014,Influencer,Central,Mobile,21,21100.0,47,4,15.98,5,1089.1,66604,1535,0,0.0,0
C00001,CMP_009,Search,South,Mobile,44,75349.0,76,5,4.38,7,629.89,29018,1693,0,0.0,0
C00002,CMP_021,Affiliate,East,Desktop,47,76289.0,70,2,1.52,4,248.09,11299,338,0,0.0,0
C00003,CMP_027,Display,East,Tablet,56,46461.0,48,4,5.17,9,383.79,22061,133,3,311.22,1
C00004,CMP_011,Email,West,Mobile,47,64383.0,59,3,4.7,8,87.17,4591,182,0,0.0,0
C00005,CMP_031,Affiliate,East,Mobile,27,51092.0,53,3,6.94,2,223.08,9517,230,0,0.0,0
C00006,CMP_026,Influencer,East,Mobile,37,59354.0,22,1,7.85,4,1657.93,61204,1658,114,8978.79,1
C00007,CMP_007,Influencer,West,Mobile,41,34349.0,54,1,1.17,9,1455.9,97738,2732,280,23920.43,1
C00008,CMP_038,Email,North,Mobile,69,66205.0,64,2,4.08,7,55.59,2876,150,0,0.0,0
C00009,CMP_002,Search,West,Mobile,45,25459.0,5,4,7.17,8,754.15,51826,3230,377,34704.07,1
C00010,CMP_027,Social,North,Desktop,51,22061.0,66,3,5.02,8,359.09,16190,276,0,0.0,0
C00011,CMP_018,Affiliate,Central,Mobile,56,52805.0,23,5,3.26,3,329.25,17557,665,0,0.0,0
C00012,CMP_027,Display,West,Desktop,36,51198.0,0,4,8.83,2,170.18,6411,95,10,1235.04,1
C00013,CMP_031,Influencer,West,Tablet,68,59901.0,72,3,8.78,8,1257.16,50201,1069,0,0.0,0
C00014,CMP_028,Search,Central,Desktop,53,43309.0,37,0,0.01,4,544.99,24899,1707,0,0.0,0
C00015,CMP_027,Social,South,Mobile,62,88942.0,39,0,5.96,9,698.67,46559,912,49,2350.96,1
C00016,CMP_034,Search,North,Mobile,56,57891.0,59,6,6.91,3,406.27,21257,1124,0,0.0,0
C00017,CMP_029,Email,Central,Tablet,50,59192.0,53,4,4.1,7,57.41,3494,126,0,0.0,0
C00018,CMP_033,Influencer,Central,Tablet,19,58550.0,59,3,5.57,4,1655.35,116341,2540,0,0.0,0
C00019,CMP_017,Display,East,Desktop,48,73052.0,90,8,4.37,3,249.59,14854,228,0,0.0,0
C00020,CMP_009,Influencer,East,Mobile,24,65368.0,62,2,6.74,3,13979.79,71724,1853,0,0.0,0
C00021,CMP_010,Social,North,Mobile,49,62956.0,4,1,3.34,8,339.21,17410,321,0,0.0,0
C00022,CMP_025,Affiliate,South,Mobile,54,68248.0,21,3,3.45,10,217.52,14027,416,45,4706.34,1
C00023,CMP_022,Affiliate,East,Mobile,46,22157.0,43,4,4.38,11,376.72,20209,805,0,0.0,0
C00024,CMP_004,Influencer,North,Mobile,34,22837.0,45,2,6.86,7,521.25,31998,765,0,0.0,0
C00025,CMP_009,Social,North,Desktop,21,53631.0,34,4,7.5,5,433.36,20276,322,0,0.0,0
